Group ,Quadrat_Number,Quadrat_Distance_m,TargetDepth_m,Depth_m,LargestCoralDiameter_cm,Coral_num,quadrat_area_m2,Density_num_m2
Danja-Carolyn,Q1,8,9,9.5,0.6,59,6.25,9.44
Danja-Carolyn,Q2,12,9,9.5,0.8,31,6.25,4.96
Danja-Carolyn,Q3,14,9,9,0.8,30,6.25,4.8
Danja-Carolyn,Q1,3,5,5,0.8,21,6.25,3.36
Danja-Carolyn,Q2,14,5,5.5,1.1,19,6.25,3.04
Danja-Carolyn,Q3,15,5,5.5,0.9,12,6.25,1.92
Jeremy-Quinn,Q1,1,9,8.7,1.2,4,6.25,0.64
Jeremy-Quinn,Q2,6,9,9,1.1,5,6.25,0.8
Jeremy-Quinn,Q3,11,9,10.2,1.5,10,6.25,1.6
Jeremy-Quinn,Q1,1,5,5.4,1.4,6,6.25,0.96
Jeremy-Quinn,Q2,3,5,5.2,0.7,25,6.25,4
Jeremy-Quinn,Q3,10,5,5,0.9,5,6.25,0.8
Paige-Avril,Q1,0,9,10.1,1.4,5,6.25,0.8
Paige-Avril,Q2,1,9,10.7,1.3,15,6.25,2.4
Paige-Avril,Q3,15,9,11,1.6,9,6.25,1.44
Paige-Avril,Q1,8,5,5.1,1.43,11,6.25,1.76
Paige-Avril,Q2,11,5,5.1,1.45,19,6.25,3.04
Paige-Avril,Q3,15,5,4.5,1.44,4,6.25,0.64
Sierra-Andrew,Q1,3,9,10,1.43,12,6.25,1.92
Sierra-Andrew,Q2,9,9,9.8,1.05,3,6.25,0.48
Sierra-Andrew,Q3,11,9,9.8,1.41,4,6.25,0.64
Sierra-Andrew,Q1,3,5,5.2,1.1,1,6.25,0.16
Sierra-Andrew,Q2,12,5,5.5,1.4,14,6.25,2.24
Sierra-Andrew,Q3,15,5,5.2,1.3,9,6.25,1.44